line_name,operator_name,day_of_week,hour,avg_arrival_delay,avg_departure_delay,num_trips
AG,Schweizerische Bundesbahnen SBB,Saturday,6.0,2.15,0.8333333333333334,1
AG,Schweizerische Bundesbahnen SBB,Saturday,7.0,0.4777777777777778,1.0999999999999999,3
AG,Schweizerische Bundesbahnen SBB,Saturday,9.0,0.36666666666666664,0.18333333333333332,1
AG,Schweizerische Bundesbahnen SBB,Saturday,10.0,3.9416666666666664,,2
AG,Schweizerische Bundesbahnen SBB,Saturday,15.0,0.13333333333333333,,1
AG,Schweizerische Bundesbahnen SBB,Saturday,16.0,0.033333333333333215,,2
AG,Schweizerische Bundesbahnen SBB,Saturday,17.0,-0.06666666666666667,0.55,1
AG,Schweizerische Bundesbahnen SBB,Saturday,18.0,0.9,0.6166666666666667,1
AG,Schweizerische Bundesbahnen SBB,Saturday,19.0,0.7875000000000001,1.3916666666666666,4
AG,Schweizerische Bundesbahnen SBB,Saturday,20.0,3.6166666666666667,,1
EC,Schweizerische Bundesbahnen SBB,Friday,0.0,33.275,45.49166666666667,4
EC,Schweizerische Bundesbahnen SBB,Friday,5.0,-1.2,0.5666666666666667,1
EC,Schweizerische Bundesbahnen SBB,Friday,6.0,3.2666666666666666,3.816666666666667,7
EC,Schweizerische Bundesbahnen SBB,Friday,7.0,8.040277777777778,8.541666666666668,12
EC,Schweizerische Bundesbahnen SBB,Friday,8.0,0.19,1.3285714285714287,16
EC,Schweizerische Bundesbahnen SBB,Friday,9.0,4.381578947368421,2.545098039215686,20
EC,Schweizerische Bundesbahnen SBB,Friday,10.0,2.3526315789473684,2.6866666666666665,19
EC,Schweizerische Bundesbahnen SBB,Friday,11.0,4.68125,6.178888888888888,18
EC,Schweizerische Bundesbahnen SBB,Friday,12.0,7.082407407407407,7.140625,18
EC,Schweizerische Bundesbahnen SBB,Friday,13.0,4.652941176470588,6.0058823529411764,17
EC,Schweizerische Bundesbahnen SBB,Friday,14.0,6.1840909090909095,5.992500000000001,22
EC,Schweizerische Bundesbahnen SBB,Friday,15.0,2.5245614035087716,2.885294117647059,20
EC,Schweizerische Bundesbahnen SBB,Friday,16.0,1.3450980392156864,2.8699999999999997,17
EC,Schweizerische Bundesbahnen SBB,Friday,17.0,1.4925,3.3192982456140347,20
EC,Schweizerische Bundesbahnen SBB,Friday,18.0,1.503921568627451,2.6733333333333333,17
EC,Schweizerische Bundesbahnen SBB,Friday,19.0,4.9625,6.962962962962963,20
EC,Schweizerische Bundesbahnen SBB,Friday,20.0,9.02017543859649,8.840196078431372,19
EC,Schweizerische Bundesbahnen SBB,Friday,21.0,6.533333333333333,7.803846153846154,14
EC,Schweizerische Bundesbahnen SBB,Friday,22.0,11.596969696969696,10.98125,11
EC,Schweizerische Bundesbahnen SBB,Friday,23.0,20.576190476190476,21.0125,7
EC,Schweizerische Bundesbahnen SBB,Monday,0.0,30.90416666666667,30.188888888888886,4
EC,Schweizerische Bundesbahnen SBB,Monday,5.0,-1.5333333333333334,0.43333333333333335,1
EC,Schweizerische Bundesbahnen SBB,Monday,6.0,2.288095238095238,3.8595238095238096,7
EC,Schweizerische Bundesbahnen SBB,Monday,7.0,2.047222222222222,3.0083333333333333,12
EC,Schweizerische Bundesbahnen SBB,Monday,8.0,0.6739583333333333,1.7345238095238096,16
EC,Schweizerische Bundesbahnen SBB,Monday,9.0,1.2210526315789474,2.8294117647058825,20
EC,Schweizerische Bundesbahnen SBB,Monday,10.0,3.16,3.3854166666666665,20
EC,Schweizerische Bundesbahnen SBB,Monday,11.0,1.9480392156862745,3.4233333333333333,19
EC,Schweizerische Bundesbahnen SBB,Monday,12.0,3.6740740740740745,4.027083333333334,19
EC,Schweizerische Bundesbahnen SBB,Monday,13.0,7.07843137254902,8.674509803921568,17
EC,Schweizerische Bundesbahnen SBB,Monday,14.0,8.515942028985506,7.841666666666667,23
EC,Schweizerische Bundesbahnen SBB,Monday,15.0,5.190740740740741,6.559803921568627,19
EC,Schweizerische Bundesbahnen SBB,Monday,16.0,9.845098039215687,8.41,17
EC,Schweizerische Bundesbahnen SBB,Monday,17.0,2.9283333333333337,4.997368421052632,21
EC,Schweizerische Bundesbahnen SBB,Monday,18.0,10.25,9.859803921568627,19
EC,Schweizerische Bundesbahnen SBB,Monday,19.0,5.703968253968254,6.02037037037037,21
EC,Schweizerische Bundesbahnen SBB,Monday,20.0,7.007894736842106,6.750980392156863,19
EC,Schweizerische Bundesbahnen SBB,Monday,21.0,2.577777777777778,3.0154761904761904,15
EC,Schweizerische Bundesbahnen SBB,Monday,22.0,3.8633333333333337,4.043055555555555,15
EC,Schweizerische Bundesbahnen SBB,Monday,23.0,9.858333333333333,10.245833333333334,10
EC,Schweizerische Bundesbahnen SBB,Saturday,0.0,13.53888888888889,13.108333333333334,3
EC,Schweizerische Bundesbahnen SBB,Saturday,5.0,-1.8833333333333333,0.5833333333333334,1
